Catalog Number,Calendar Date,Eclipse Time,Eclipse Type,Eclipse Magnitude,Latitude,Longitude
9362,1935 January 5,5:35:46,Pe,0.0013,64.7S,110.2W
9363,1935 February 3,16:16:20,P,0.739,62.5N,115.4W
9364,1935 June 30,19:59:46,P,0.3375,65.2N,39.1E
9365,1935 July 30,9:16:28,P,0.2315,62.9S,5.9W
9366,1935 December 25,17:59:52,A,0.9752,83.5S,9.4E
9367,1936 June 19,5:20:31,T,1.0329,56.1N,104.7E
9368,1936 December 13,23:28:12,A,0.9349,37.8S,172.6W
9369,1937 June 8,20:41:02,T,1.0751,9.9N,130.5W
9370,1937 December 2,23:05:45,A,0.9184,4.0N,167.8W
9371,1938 May 29,13:50:19,T,1.0552,52.7S,22.0W
9372,1938 November 21,23:52:25,P,0.7781,68.9N,162.0W
9373,1939 April 19,16:45:53,A,0.9731,73.1N,129.1W
9374,1939 October 12,20:40:23,T,1.0266,72.8S,155.1E
9375,1940 April 7,20:21:21,A,0.9394,19.2N,128.5W
9376,1940 October 1,12:44:06,T,1.0645,17.5S,18.2W
9377,1941 March 27,20:08:08,A,0.9355,26.2S,110.9W
9378,1941 September 21,4:34:03,T,1.0379,27.3N,119.1E
9379,1942 March 16,23:37:07,P,0.6393,72.2S,76.8W
9380,1942 August 12,2:45:12,Pe,0.0561,70.4S,99.9E
9381,1942 September 10,15:39:32,P,0.523,71.9N,50.0E
9382,1943 February 4,23:38:10,T,1.0331,43.6N,175.1E
9383,1943 August 1,4:16:13,A,0.9409,34.8S,108.6E
9384,1944 January 25,15:26:42,T,1.0428,7.6S,50.2W
9385,1944 July 20,5:43:13,A,0.97,19.0N,95.7E
9386,1945 January 14,5:01:43,A,0.997,51.1S,110.3E
9387,1945 July 9,13:27:46,T,1.018,70.0N,17.2W
9388,1946 January 3,12:16:11,P,0.5529,67.1S,177.6E
9389,1946 May 30,21:00:24,P,0.8865,64.1S,101.0W
9390,1946 June 29,3:51:58,P,0.1802,66.6N,50.8W
9391,1946 November 23,17:37:12,P,0.7758,63.4N,45.3W
9392,1947 May 20,13:47:47,T,1.0557,0.2N,21.4W
9393,1947 November 12,20:05:37,A,0.965,3.0N,117.4W
9394,1948 May 9,2:26:04,A,0.9999,39.8N,131.2E
9395,1948 November 1,5:59:18,T,1.0231,33.1S,76.2E
9396,1949 April 28,7:48:53,P,0.6092,61.9N,55.7W
9397,1949 October 21,21:13:01,P,0.9638,61.5S,107.5E
9398,1950 March 18,15:32:01,A-,0.962,60.9S,40.9E
9399,1950 September 12,3:38:47,T,1.0182,54.8N,172.3E
9400,1951 March 7,20:53:40,A,0.9896,17.7S,123.5W
9401,1951 September 1,12:51:51,A,0.9747,16.5N,8.5W
9402,1952 February 25,9:11:35,T,1.0366,15.6N,32.7E
9403,1952 August 20,15:13:35,A,0.942,21.7S,64.1W
9404,1953 February 14,0:59:30,P,0.7596,61.9N,104.9E
9405,1953 July 11,2:44:14,P,0.2015,64.3N,71.7W
9406,1953 August 9,15:55:03,P,0.3729,62.2S,114.7W
9407,1954 January 5,2:32:01,A,0.972,79.1S,120.8W
9408,1954 June 30,12:32:38,T,1.0357,60.5N,4.2E
9409,1954 December 25,7:36:42,A,0.9323,38.4S,68.2E
9410,1955 June 20,4:10:42,T,1.0776,14.8N,117.0E
9411,1955 December 14,7:02:25,A,0.9176,2.1N,72.2E
9412,1956 June 8,21:20:39,T,1.0581,40.8S,140.7W
9413,1956 December 2,8:00:35,P,0.8047,67.9N,64.6E
9414,1957 April 30,0:05:28,A+,0.9799,70.6N,40.3E
9415,1957 October 23,4:54:02,T-,1.0013,71.2S,23.1W
9416,1958 April 19,3:27:17,A,0.9408,26.5N,123.6E
9417,1958 October 12,20:55:28,T,1.0608,24.0S,142.4W
9418,1959 April 8,3:24:08,A,0.9401,19.1S,137.6E
9419,1959 October 2,12:27:00,T,1.0325,20.4N,1.4W
9420,1960 March 27,7:25:07,P,0.7058,72.1S,151.9E
9421,1960 September 20,22:59:56,P,0.6139,72.1N,74.1W
9422,1961 February 15,8:19:48,T,1.036,47.4N,40.0E
9423,1961 August 11,10:46:47,A,0.9375,45.8S,4.0E
9424,1962 February 5,0:12:38,T,1.043,4.2S,178.1E
9425,1962 July 31,12:25:33,Am,0.9716,12.0N,5.7W
9426,1963 January 25,13:37:12,A,0.9951,48.2S,15.0W
9427,1963 July 20,20:36:13,T,1.0224,61.7N,119.6W
9428,1964 January 14,20:30:08,P,0.5591,68.2S,43.1E
9429,1964 June 10,4:34:07,P,0.7545,65.0S,135.9E
9430,1964 July 9,11:17:53,P,0.3221,67.6N,172.9W
9431,1964 December 4,1:31:54,P,0.7518,64.3N,173.3W
